titulo,empresa,local,nivel,link
Analista de TI (Zabbix),Confidencial,,Pleno,https://www.vagas.com.br/vagas/v2798200/analista-de-ti-zabbix
Estagiário de Riscos (Estatística / Administração / Economia / Matemática),Brasilcap,,Estágio,https://www.vagas.com.br/vagas/v2796147/estagiario-de-riscos-estatistica-administracao-economia-matematica
Cientista de Dados ( Lençóis Paulista SP ),LWART SOLUÇÕES AMBIENTAIS,,Júnior/Trainee,https://www.vagas.com.br/vagas/v2801569/cientista-de-dados-lencois-paulista-sp
Analista de Suporte Operacional,TO Brasil Consultoria em Tecnologia da Informação,,Júnior/Trainee,https://www.vagas.com.br/vagas/v2802235/analista-de-suporte-operacional
Analista Jr Marketing (Dados Licitações) - Barra da Tijuca/Rj.,White Martins,,Júnior/Trainee,https://www.vagas.com.br/vagas/v2793279/analista-jr-marketing-dados-licitacoes-barra-da-tijuca-rj
Planejador de Manutenção,Elera Renováveis,,Pleno,https://www.vagas.com.br/vagas/v2801921/planejador-de-manutencao
Analista Tec Gerenciamento Informacao Pl (027121),Lyon Engenharia,,Pleno,https://www.vagas.com.br/vagas/v2800970/analista-tec-gerenciamento-informacao-pl-027121
Analista de FP&A Sênior,BR Talent,,Sênior,https://www.vagas.com.br/vagas/v2794726/analista-de-fp-a-senior
Analista Contábil Pleno,Brasilcap,,Pleno,https://www.vagas.com.br/vagas/v2796145/analista-contabil-pleno
Analista de Automação de Processos Sr,Wella Company,,Sênior,https://www.vagas.com.br/vagas/v2800093/analista-de-automacao-de-processos-sr
Especialista de Sistemas - Quality Assurance (QA),AL5 AMAGGI,Home Office,Sênior,https://www.vagas.com.br/vagas/v2799754/especialista-de-sistemas-quality-assurance-qa
Engenheiro(a) Geotécnico(a) Pl | Vaga Exclusiva para Pcd's,Tetra Tech América do Sul,,Pleno,https://www.vagas.com.br/vagas/v2795347/engenheiro-a-geotecnico-a-pl-vaga-exclusiva-para-pcd-s
Arquiteto de Dados Pl,Porto do Açu Operações,,Pleno,https://www.vagas.com.br/vagas/v2801421/arquiteto-de-dados-pl
Analista de Dados II | Ânima Holding,Ânima,Home Office,Pleno,https://www.vagas.com.br/vagas/v2802129/analista-de-dados-ii-anima-holding
Estágio Risco,Ativa Investimentos,,Estágio,https://www.vagas.com.br/vagas/v2797843/estagio-risco
Desenvolvedor(a) Sênior Fullstack,Petronect,,Pleno,https://www.vagas.com.br/vagas/v2785781/desenvolvedor-a-senior-fullstack
Desenvolvedor(a) Fullstack Pleno,Ativa Investimentos,,Pleno,https://www.vagas.com.br/vagas/v2799196/desenvolvedor-a-fullstack-pleno
Analista de Dados Ii_ânima Holding,Ânima,Home Office,Pleno,https://www.vagas.com.br/vagas/v2800126/analista-de-dados-ii_anima-holding
Analista de Sistemas Sênior - Engenharia de Dados,Vallourec Soluções Tubulares,,Sênior,https://www.vagas.com.br/vagas/v2798376/analista-de-sistemas-senior-engenharia-de-dados
Desenvolvedor(a) de Ia Pleno,Inspirali,,Pleno,https://www.vagas.com.br/vagas/v2801156/desenvolvedor-a-de-ia-pleno
Desenvolvedor de Sistemas III,Ânima,Home Office,Pleno,https://www.vagas.com.br/vagas/v2782160/desenvolvedor-de-sistemas-iii
Analista de Fundos de Investimentos Junior (Gestão e Operações),Ecoagro,,Júnior/Trainee,https://www.vagas.com.br/vagas/v2800465/analista-de-fundos-de-investimentos-junior-gestao-e-operacoes
Analista de Gestão de Risco Sr,Icatu Seguros,,Sênior,https://www.vagas.com.br/vagas/v2799565/analista-de-gestao-de-risco-sr
Analista de Segurança da Informação Jr,Icatu Seguros,,Júnior/Trainee,https://www.vagas.com.br/vagas/v2794150/analista-de-seguranca-da-informacao-jr
Coordenador de Arquitetura de Dados,Grupo Fleury,Home Office,Supervisão/Coordenação,https://www.vagas.com.br/vagas/v2793692/coordenador-de-arquitetura-de-dados
Analista de Projetos I,Grupo Fleury,,Júnior/Trainee,https://www.vagas.com.br/vagas/v2798994/analista-de-projetos-i
